benchmark,script,system,persistence_mode,time
Analytics,1.sh,bash,,2730.072
Analytics,1.sh,ahs,,756.737
Analytics,1.sh,dish,,35.381
Analytics,1.sh,fractal,,29.772
Analytics,2.sh,bash,,2722.242
Analytics,2.sh,ahs,,767.041
Analytics,2.sh,dish,,36.322
Analytics,2.sh,fractal,,30.421
Analytics,3.sh,bash,,3317.987
Analytics,3.sh,ahs,,850.703
Analytics,3.sh,dish,,62.382
Analytics,3.sh,fractal,,55.52
Analytics,4.sh,bash,,1179.794
Analytics,4.sh,ahs,,724.473
Analytics,4.sh,dish,,26.605
Analytics,4.sh,fractal,,21.887
Analytics,temp-analytics.sh,bash,,722.562
Analytics,temp-analytics.sh,ahs,,499.31
Analytics,temp-analytics.sh,dish,,128.272
Analytics,temp-analytics.sh,fractal,,41.901
Analytics,1.sh,bash,,2717.693
Analytics,1.sh,ahs,,700.012
Analytics,1.sh,dish,,34.699
Analytics,1.sh,fractal,,25.199
Analytics,2.sh,bash,,2725.593
Analytics,2.sh,ahs,,775.31
Analytics,2.sh,dish,,34.786
Analytics,2.sh,fractal,,25.541
Analytics,3.sh,bash,,3329.563
Analytics,3.sh,ahs,,860.816
Analytics,3.sh,dish,,60.971
Analytics,3.sh,fractal,,50.44
Analytics,4.sh,bash,,1193.893
Analytics,4.sh,ahs,,742.675
Analytics,4.sh,dish,,29.807
Analytics,4.sh,fractal,,16.867
Analytics,temp-analytics.sh,bash,,721.634
Analytics,temp-analytics.sh,ahs,,505.314
Analytics,temp-analytics.sh,dish,,126.846
Analytics,temp-analytics.sh,fractal,,41.45
Analytics,1.sh,bash,,2719.136
Analytics,1.sh,ahs,,756.297
Analytics,1.sh,dish,,36.355
Analytics,1.sh,fractal,,29.521
Analytics,2.sh,bash,,2727.999
Analytics,2.sh,ahs,,731.2
Analytics,2.sh,dish,,36.639
Analytics,2.sh,fractal,,30.684
Analytics,3.sh,bash,,3327.126
Analytics,3.sh,ahs,,880.784
Analytics,3.sh,dish,,63.339
Analytics,3.sh,fractal,,54.923
Analytics,4.sh,bash,,1180.0
Analytics,4.sh,ahs,,741.264
Analytics,4.sh,dish,,26.459
Analytics,4.sh,fractal,,22.358
Analytics,temp-analytics.sh,bash,,721.055
Analytics,temp-analytics.sh,ahs,,504.389
Analytics,temp-analytics.sh,dish,,134.16
Analytics,temp-analytics.sh,fractal,,41.529
Analytics,1.sh,dish,,35.381
Analytics,1.sh,fractal,,29.772
Analytics,1.sh,fractal-m,,59.749
Analytics,1.sh,fractal-r,,39.31
Analytics,2.sh,dish,,36.322
Analytics,2.sh,fractal,,30.421
Analytics,2.sh,fractal-m,,59.8
Analytics,2.sh,fractal-r,,39.722
Analytics,3.sh,dish,,62.382
Analytics,3.sh,fractal,,55.52
Analytics,3.sh,fractal-m,,99.671
Analytics,3.sh,fractal-r,,53.232
Analytics,4.sh,dish,,26.605
Analytics,4.sh,fractal,,21.887
Analytics,4.sh,fractal-m,,48.298
Analytics,4.sh,fractal-r,,26.541
Analytics,temp-analytics.sh,dish,,128.272
Analytics,temp-analytics.sh,fractal,,41.901
Analytics,temp-analytics.sh,fractal-m,,52.159
Analytics,temp-analytics.sh,fractal-r,,43.509
Analytics,1.sh,dish,,34.699
Analytics,1.sh,fractal,,25.199
Analytics,1.sh,fractal-m,,56.69
Analytics,1.sh,fractal-r,,37.679
Analytics,2.sh,dish,,34.786
Analytics,2.sh,fractal,,25.541
Analytics,2.sh,fractal-m,,56.814
Analytics,2.sh,fractal-r,,38.749
Analytics,3.sh,dish,,60.971
Analytics,3.sh,fractal,,50.44
Analytics,3.sh,fractal-m,,95.481
Analytics,3.sh,fractal-r,,52.184
Analytics,4.sh,dish,,29.807
Analytics,4.sh,fractal,,16.867
Analytics,4.sh,fractal-m,,46.582
Analytics,4.sh,fractal-r,,29.158
Analytics,temp-analytics.sh,dish,,126.846
Analytics,temp-analytics.sh,fractal,,41.45
Analytics,temp-analytics.sh,fractal-m,,52.715
Analytics,temp-analytics.sh,fractal-r,,44.846
Analytics,1.sh,dish,,36.355
Analytics,1.sh,fractal,,29.521
Analytics,1.sh,fractal-m,,60.496
Analytics,1.sh,fractal-r,,37.388
Analytics,2.sh,dish,,36.639
Analytics,2.sh,fractal,,30.684
Analytics,2.sh,fractal-m,,59.686
Analytics,2.sh,fractal-r,,40.91
Analytics,3.sh,dish,,63.339
Analytics,3.sh,fractal,,54.923
Analytics,3.sh,fractal-m,,97.42
Analytics,3.sh,fractal-r,,52.957
Analytics,4.sh,dish,,26.459
Analytics,4.sh,fractal,,22.358
Analytics,4.sh,fractal-m,,48.168
Analytics,4.sh,fractal-r,,29.422
Analytics,temp-analytics.sh,dish,,134.16
Analytics,temp-analytics.sh,fractal,,41.529
Analytics,temp-analytics.sh,fractal-m,,53.083
Analytics,temp-analytics.sh,fractal-r,,44.539
