benchmark,script,system,persistence_mode,time
Automation,img_convert.sh,bash,,4687.253
Automation,img_convert.sh,dish,,393.167
Automation,img_convert.sh,fractal,,416.744
Automation,to_mp3.sh,bash,,1702.41
Automation,to_mp3.sh,dish,,125.899
Automation,to_mp3.sh,fractal,,130.716
Automation,nginx.sh,bash,,1524.644
Automation,nginx.sh,dish,,531.336
Automation,nginx.sh,fractal,,484.088
Automation,pcap.sh,bash,,6836.351
Automation,pcap.sh,dish,,369.375
Automation,pcap.sh,fractal,,374.259
Automation,compress_files.sh,bash,,3592.245
Automation,compress_files.sh,dish,,388.357
Automation,compress_files.sh,fractal,,335.09
Automation,encrypt_files.sh,bash,,2812.393
Automation,encrypt_files.sh,dish,,257.397
Automation,encrypt_files.sh,fractal,,270.353
Automation,img_convert.sh,bash,,4684.896
Automation,img_convert.sh,dish,,392.49
Automation,img_convert.sh,fractal,,413.28
Automation,to_mp3.sh,bash,,1693.146
Automation,to_mp3.sh,dish,,125.523
Automation,to_mp3.sh,fractal,,132.088
Automation,nginx.sh,bash,,1529.299
Automation,nginx.sh,dish,,524.802
Automation,nginx.sh,fractal,,482.888
Automation,pcap.sh,bash,,6853.905
Automation,pcap.sh,dish,,359.878
Automation,pcap.sh,fractal,,362.056
Automation,compress_files.sh,bash,,3589.498
Automation,compress_files.sh,dish,,394.821
Automation,compress_files.sh,fractal,,343.348
Automation,encrypt_files.sh,bash,,2812.657
Automation,encrypt_files.sh,dish,,257.25
Automation,encrypt_files.sh,fractal,,269.714
Automation,img_convert.sh,bash,,4675.553
Automation,img_convert.sh,dish,,391.475
Automation,img_convert.sh,fractal,,414.553
Automation,to_mp3.sh,bash,,1698.906
Automation,to_mp3.sh,dish,,125.774
Automation,to_mp3.sh,fractal,,131.75
Automation,nginx.sh,bash,,1526.728
Automation,nginx.sh,dish,,523.945
Automation,nginx.sh,fractal,,484.219
Automation,pcap.sh,bash,,6816.585
Automation,pcap.sh,dish,,363.407
Automation,pcap.sh,fractal,,364.633
Automation,compress_files.sh,bash,,3588.357
Automation,compress_files.sh,dish,,386.94
Automation,compress_files.sh,fractal,,340.51
Automation,encrypt_files.sh,bash,,2813.326
Automation,encrypt_files.sh,dish,,256.69
Automation,encrypt_files.sh,fractal,,273.572
Automation,img_convert.sh,dish,,393.167
Automation,img_convert.sh,fractal,,416.744
Automation,img_convert.sh,fractal-m,,415.037
Automation,img_convert.sh,fractal-r,,415.802
Automation,to_mp3.sh,dish,,125.899
Automation,to_mp3.sh,fractal,,130.716
Automation,to_mp3.sh,fractal-m,,132.407
Automation,to_mp3.sh,fractal-r,,132.394
Automation,nginx.sh,dish,,531.336
Automation,nginx.sh,fractal,,484.088
Automation,nginx.sh,fractal-m,,482.014
Automation,nginx.sh,fractal-r,,482.693
Automation,pcap.sh,dish,,369.375
Automation,pcap.sh,fractal,,374.259
Automation,pcap.sh,fractal-m,,370.833
Automation,pcap.sh,fractal-r,,367.262
Automation,compress_files.sh,dish,,388.357
Automation,compress_files.sh,fractal,,335.09
Automation,compress_files.sh,fractal-m,,340.43
Automation,compress_files.sh,fractal-r,,336.921
Automation,encrypt_files.sh,dish,,257.397
Automation,encrypt_files.sh,fractal,,270.353
Automation,encrypt_files.sh,fractal-m,,272.382
Automation,encrypt_files.sh,fractal-r,,270.983
Automation,img_convert.sh,dish,,392.49
Automation,img_convert.sh,fractal,,413.28
Automation,img_convert.sh,fractal-m,,415.28
Automation,img_convert.sh,fractal-r,,415.291
Automation,to_mp3.sh,dish,,125.523
Automation,to_mp3.sh,fractal,,132.088
Automation,to_mp3.sh,fractal-m,,131.146
Automation,to_mp3.sh,fractal-r,,132.652
Automation,nginx.sh,dish,,524.802
Automation,nginx.sh,fractal,,482.888
Automation,nginx.sh,fractal-m,,482.948
Automation,nginx.sh,fractal-r,,489.348
Automation,pcap.sh,dish,,359.878
Automation,pcap.sh,fractal,,362.056
Automation,pcap.sh,fractal-m,,371.864
Automation,pcap.sh,fractal-r,,369.876
Automation,compress_files.sh,dish,,394.821
Automation,compress_files.sh,fractal,,343.348
Automation,compress_files.sh,fractal-m,,338.984
Automation,compress_files.sh,fractal-r,,341.894
Automation,encrypt_files.sh,dish,,257.25
Automation,encrypt_files.sh,fractal,,269.714
Automation,encrypt_files.sh,fractal-m,,273.442
Automation,encrypt_files.sh,fractal-r,,273.575
Automation,img_convert.sh,dish,,391.475
Automation,img_convert.sh,fractal,,414.553
Automation,img_convert.sh,fractal-m,,416.044
Automation,img_convert.sh,fractal-r,,415.823
Automation,to_mp3.sh,dish,,125.774
Automation,to_mp3.sh,fractal,,131.75
Automation,to_mp3.sh,fractal-m,,131.316
Automation,to_mp3.sh,fractal-r,,132.56
Automation,nginx.sh,dish,,523.945
Automation,nginx.sh,fractal,,484.219
Automation,nginx.sh,fractal-m,,490.813
Automation,nginx.sh,fractal-r,,481.795
Automation,pcap.sh,dish,,363.407
Automation,pcap.sh,fractal,,364.633
Automation,pcap.sh,fractal-m,,367.375
Automation,pcap.sh,fractal-r,,366.818
Automation,compress_files.sh,dish,,386.94
Automation,compress_files.sh,fractal,,340.51
Automation,compress_files.sh,fractal-m,,336.747
Automation,compress_files.sh,fractal-r,,334.903
Automation,encrypt_files.sh,dish,,256.69
Automation,encrypt_files.sh,fractal,,273.572
Automation,encrypt_files.sh,fractal-m,,272.941
Automation,encrypt_files.sh,fractal-r,,273.93
