# fault_free dataset: per-script timings & speedups
size,run,benchmark,script,bash|4|t,ahs|4|t,dish|4|t,fractal|4|t,bash|30|t,ahs|30|t,dish|30|t,fractal|30|t,ahs|4|s,dish|4|s,fractal|4|s,ahs|30|s,dish|30|s,fractal|30|s
N/A,1,Classics,top-n.sh,778.408,471.904,238.428,223.381,1795.258,581.582,182.298,178.872,1.6495049840645555,3.2647507843038572,3.484665213245531,3.08685275679096,9.847930311906877,10.036551276890737
N/A,2,Classics,shortest-scripts.sh,267.485,165.654,174.144,174.083,328.783,346.654,73.113,71.826,1.6147210450698446,1.5359989434031607,1.5365371690515444,0.948447154799887,4.496915733180146,4.577492829894468
N/A,2,Classics,set-diff.sh,643.106,329.076,182.919,183.27,827.418,343.787,125.343,122.503,1.954278039115584,3.5157966094282167,3.509063130899765,2.4067751252956047,6.601230224264618,6.754267242434879
N/A,2,Classics,nfa-regex.sh,3013.029,434.012,401.236,398.903,3272.038,439.19,444.547,428.568,6.9422711814419875,7.5093685511768635,7.553287390668909,7.45016507661832,7.360387090678826,7.6348164118646284
N/A,2,Classics,diff.sh,94.84,364.988,50.217,55.167,117.83,328.323,39.739,43.002,0.25984415926003046,1.8886034609793498,1.719143690974677,0.35888439128541105,2.9650972596190144,2.7401051113901675
N/A,2,Classics,bi-grams.sh,1220.878,640.702,552.38,574.342,2158.032,1098.557,327.403,327.485,1.9055317448673486,2.210213983127557,2.1256986255575945,1.9644242401623222,6.5913629380305006,6.589712505916301
N/A,3,Classics,bi-grams.sh,1224.587,642.873,579.476,572.475,2160.117,1108.087,328.792,324.589,1.9048661244133753,2.1132661231871555,2.1391100048037033,1.9494110119512278,6.569858755687488,6.654929772727973
N/A,3,Classics,diff.sh,94.386,374.195,52.272,56.087,112.025,338.831,41.156,41.957,0.25223746976843625,1.8056703397612488,1.6828498582559237,0.3306220505207611,2.7219603460005835,2.6699954715542105
N/A,3,Classics,nfa-regex.sh,3011.133,436.27,401.278,400.094,3290.712,440.287,445.653,428.336,6.901994177917345,7.50385767472924,7.526063874989378,7.474015812413267,7.384022995469569,7.682548279855067
N/A,3,Classics,set-diff.sh,644.288,335.671,183.201,186.081,829.739,342.843,124.864,120.989,1.9194032251818,3.5168366984896373,3.462406156458747,2.4201719154248447,6.6451419144028705,6.857970559307044
N/A,1,Classics,wf.sh,776.436,461.55,240.536,229.268,1788.522,561.004,182.234,178.747,1.6822359441013974,3.227940931918715,3.386586876493885,3.1880735253224572,9.814425409089411,10.005885413461483
N/A,2,Classics,spell.sh,730.517,790.114,427.685,449.814,1646.441,1238.015,312.139,313.782,0.9245716440918652,1.7080725300162505,1.6240423819623222,1.3299039187731974,5.274704538683086,5.247085556214187
N/A,1,Classics,spell.sh,738.171,792.694,429.401,441.071,1637.768,1243.766,311.73,313.022,0.9312180992917823,1.719071450695271,1.673587699032582,1.316781452459707,5.253802970519359,5.232117870309436
N/A,1,Classics,sort.sh,267.659,105.195,120.88,97.712,274.987,43.101,51.974,51.647,2.544408004182708,2.2142538054268694,2.739264368757164,6.380060787452728,5.290856966945012,5.324355722500823
N/A,1,Classics,sort-sort.sh,358.481,305.122,196.826,191.311,435.966,340.302,134.6,132.575,1.1748775899476274,1.8213091766331684,1.8738127969641054,1.281115009609112,3.2389747399702826,3.288448048274562
N/A,1,Classics,shortest-scripts.sh,275.898,165.99,176.64,177.403,327.587,342.571,72.884,72.404,1.6621362732694742,1.5619225543478263,1.555204816153053,0.9562601621269751,4.494635310904999,4.5244323518037675
