# fault_soft dataset: per-script timings (fault runs)
run,benchmark,script,dish|4,dish|30,fractal|4,fractal|30,fractal-m|4,fractal-m|30,fractal-r|4,fractal-r|30
1,Classics,top-n.sh,238.428,182.298,223.381,178.872,303.714,268.171,282.544,203.013
2,Classics,shortest-scripts.sh,174.144,73.113,174.083,71.826,269.491,118.056,174.288,72.427
2,Classics,set-diff.sh,182.919,125.343,183.27,122.503,252.193,188.974,207.447,120.853
2,Classics,nfa-regex.sh,401.236,444.547,398.903,428.568,609.858,650.507,603.457,428.421
2,Classics,diff.sh,50.217,39.739,55.167,43.002,77.225,69.799,57.061,40.838
2,Classics,bi-grams.sh,552.38,327.403,574.342,327.485,831.129,498.405,584.519,327.653
3,Classics,bi-grams.sh,579.476,328.792,572.475,324.589,894.744,493.931,578.438,325.57
3,Classics,diff.sh,52.272,41.156,56.087,41.957,88.668,67.36,56.745,55.595
3,Classics,nfa-regex.sh,401.278,445.653,400.094,428.336,608.826,649.286,605.003,650.993
3,Classics,set-diff.sh,183.201,124.864,186.081,120.989,255.046,186.257,207.948,128.54
1,Classics,wf.sh,240.536,182.234,229.268,178.747,306.964,266.151,282.924,203.124
2,Classics,spell.sh,427.685,312.139,449.814,313.782,667.411,477.124,435.945,312.825
1,Classics,spell.sh,429.401,311.73,441.071,313.022,660.237,479.043,452.418,310.473
1,Classics,sort.sh,120.88,51.974,97.712,51.647,154.487,88.455,113.397,57.345
1,Classics,sort-sort.sh,196.826,134.6,191.311,132.575,260.13,210.817,199.236,141.092
1,Classics,shortest-scripts.sh,176.64,72.884,177.403,72.404,272.795,117.918,173.625,71.887
1,Classics,set-diff.sh,183.072,125.76,184.153,121.87,255.503,189.815,208.376,124.676
1,Classics,nfa-regex.sh,403.599,445.48,399.087,427.441,607.595,648.174,603.134,650.068
1,Classics,diff.sh,50.227,43.23,55.546,42.433,75.342,67.821,59.798,54.211
1,Classics,bi-grams.sh,560.734,325.296,573.468,324.481,815.839,495.971,585.04,325.595
3,Classics,shortest-scripts.sh,171.024,73.318,175.653,73.209,271.465,117.812,176.475,73.576
3,Classics,sort-sort.sh,206.757,132.405,188.377,133.968,356.557,211.064,221.444,141.878
3,Classics,sort.sh,119.748,52.713,102.858,50.357,150.504,82.782,122.001,58.437
3,Classics,spell.sh,441.066,311.782,440.931,312.464,672.948,477.208,437.316,313.006
3,Classics,top-n.sh,234.577,182.202,228.836,180.031,309.776,269.342,287.088,210.227
3,Classics,wf.sh,239.252,182.214,228.971,179.956,330.115,266.445,280.552,211.874
2,Classics,top-n.sh,234.521,182.001,224.369,179.743,293.369,263.281,278.117,178.588
2,Classics,wf.sh,235.409,181.434,229.366,178.758,298.01,263.236,277.509,181.675
2,Classics,sort-sort.sh,206.306,133.214,199.23,133.159,272.356,210.581,198.44,130.111
2,Classics,sort.sh,113.262,53.88,102.208,50.761,152.801,83.421,119.738,52.227
2,Unix50,9.sh,19.19,26.169,18.164,9.348,,,,
2,Unix50,8.sh,34.72,25.545,28.758,12.686,,,,
3,Unix50,9.sh,22.653,26.015,19.15,9.598,,,,
1,Unix50,9.sh,20.266,26.117,17.166,9.418,,,,
1,Unix50,8.sh,36.084,25.359,31.353,12.476,,,,
1,Unix50,7.sh,88.34,27.277,73.394,25.236,,,,
1,Unix50,6.sh,44.73,25.289,37.879,24.478,,,,
2,Unix50,7.sh,86.956,26.832,74.129,25.31,,,,
2,Unix50,6.sh,39.869,24.865,36.103,23.452,,,,
2,Unix50,33.sh,98.989,160.573,99.415,162.33,,,,
2,Unix50,4.sh,297.416,159.325,283.464,151.595,,,,
2,Unix50,23.sh,146.236,41.558,143.069,36.321,,,,
2,Unix50,21.sh,956.834,570.984,959.904,559.66,,,,
2,Unix50,20.sh,11.077,23.825,6.935,8.673,,,,
2,Unix50,2.sh,351.413,167.43,347.739,159.938,,,,
2,Unix50,19.sh,28.58,24.027,15.736,10.831,,,,
2,Unix50,18.sh,15.257,24.486,12.156,8.265,,,,
2,Unix50,17.sh,106.066,66.552,95.998,65.483,,,,
2,Unix50,16.sh,167.228,97.392,147.093,90.141,,,,
2,Unix50,15.sh,30.892,25.373,25.164,12.913,,,,
2,Unix50,14.sh,864.816,772.654,856.803,777.16,,,,
