,,4 Node,,,reported times are normal run times for nlp and merger recovery times for Analytics
benchmark,script,enabled,disabled,dynamic,
NLP,1syllable_words;6_4,22.898,20.295,20.136,
NLP,2syllable_words;6_5,21.688,19.763,19.583,
NLP,4letter_words;6_2,54.114,29.06,28.681,
NLP,bigrams_appear_twice;8.2_2,15.649,14.831,14.555,
NLP,bigrams;4_3,21.889,20.967,20.963,
NLP,compare_exodus_genesis;8.3_3,76.662,74.811,74.587,
NLP,count_consonant_seq;7_2,19.185,18.658,18.513,
NLP,count_morphs;7_1,31.37,17.791,17.661,
NLP,count_trigrams;4_3b,16.896,15.036,14.78,
NLP,count_vowel_seq;2_2,30.846,17.578,17.414,
NLP,count_words;1_1,27.703,19.427,18.963,
NLP,find_anagrams;8.3_2,16.746,13.93,13.809,
NLP,merge_upper;2_1,24.359,20.667,20.361,
NLP,sort;3_1,26.894,25.983,25.938,
NLP,sort_words_by_folding;3_2,26.703,26.026,25.876,
NLP,sort_words_by_num_of_syllables;8_1,21.348,19.108,18.939,
NLP,sort_words_by_rhyming;3_3,35.424,35.106,34.623,
NLP,uppercase_by_token;6_1_1,27.319,13.312,13.004,
NLP,uppercase_by_type;6_1_2,20.946,18.81,18.657,
NLP,verses_2om_3om_2instances;6_7,175.721,167.882,168.079,
NLP,vowel_sequencies_gr_1K;8.2_1,21.254,21.032,20.574,
NLP,words_no_vowels;6_3,25.621,19.745,19.417,
Analytics,1.sh,287.402,386.501,287.089,
Analytics,2.sh,288.143,386.476,287.644,
Analytics,3.sh,371.14,499.759,367.72,
Analytics,4.sh,137.922,192.597,136.038,
Analytics,temp-analytics.sh,101.017,142.269,105.273,
