,,,time - 4 node,,,,time - 30 node,,,
run,benchmark,script,dish|4,fractal|4,fractal-m|4,fractal-r|4,dish|30,fractal|30,fractal-m|30,fractal-r|30
1,Classics,nfa-regex.sh,403.599,399.087,607.595,603.134,445.48,427.441,648.174,650.068
1,Classics,sort.sh,120.88,97.712,154.487,113.397,51.974,51.647,88.455,57.345
1,Classics,top-n.sh,238.428,223.381,303.714,282.544,182.298,178.872,268.171,203.013
1,Classics,wf.sh,240.536,229.268,306.964,282.924,182.234,178.747,266.151,203.124
1,Classics,spell.sh,429.401,441.071,660.237,452.418,311.73,313.022,479.043,310.473
1,Classics,diff.sh,50.227,55.546,75.342,59.798,43.23,42.433,67.821,54.211
1,Classics,bi-grams.sh,560.734,573.468,815.839,585.04,325.296,324.481,495.971,325.595
1,Classics,set-diff.sh,183.072,184.153,255.503,208.376,125.76,121.87,189.815,124.676
1,Classics,sort-sort.sh,196.826,191.311,260.13,199.236,134.6,132.575,210.817,141.092
1,Classics,shortest-scripts.sh,176.64,177.403,272.795,173.625,72.884,72.404,117.918,71.887
1,Analytics,1.sh,203.138,208.69,287.821,246.696,35.381,29.772,59.749,39.31
1,Analytics,2.sh,204.639,209.808,286.727,249.61,36.322,30.421,59.8,39.722
1,Analytics,3.sh,275.281,280.78,367.793,325,62.382,55.52,99.671,53.232
1,Analytics,4.sh,103.214,102.078,137.462,120.027,26.605,21.887,48.298,26.541
1,Analytics,temp-analytics.sh,234.642,215.443,289.027,250.429,128.272,41.901,52.159,43.509
1,Automation,img_convert.sh,995.281,992.811,1240.599,1236.632,393.167,416.744,415.037,415.802
1,Automation,to_mp3.sh,312.051,311.321,392.252,388.644,125.899,130.716,132.407,132.394
1,Automation,nginx.sh,430.704,436.587,524.85,537.617,531.336,484.088,482.014,482.693
1,Automation,pcap.sh,1298.472,1261.487,1269.482,1272.143,369.375,374.259,370.833,367.262
1,Automation,compress_files.sh,220.161,229.097,255.954,261.137,388.357,335.09,340.43,336.921
1,Automation,encrypt_files.sh,651.083,623.348,755.559,744.691,257.397,270.353,272.382,270.983
2,Classics,nfa-regex.sh,401.236,398.903,609.858,603.457,444.547,428.568,650.507,428.421
2,Classics,sort.sh,113.262,102.208,152.801,119.738,53.88,50.761,83.421,52.227
2,Classics,top-n.sh,234.521,224.369,293.369,278.117,182.001,179.743,263.281,178.588
2,Classics,wf.sh,235.409,229.366,298.01,277.509,181.434,178.758,263.236,181.675
2,Classics,spell.sh,427.685,449.814,667.411,435.945,312.139,313.782,477.124,312.825
2,Classics,diff.sh,50.217,55.167,77.225,57.061,39.739,43.002,69.799,40.838
2,Classics,bi-grams.sh,552.38,574.342,831.129,584.519,327.403,327.485,498.405,327.653
2,Classics,set-diff.sh,182.919,183.27,252.193,207.447,125.343,122.503,188.974,120.853
2,Classics,sort-sort.sh,206.306,199.23,272.356,198.44,133.214,133.159,210.581,130.111
2,Classics,shortest-scripts.sh,174.144,174.083,269.491,174.288,73.113,71.826,118.056,72.427
2,Analytics,1.sh,204.171,210.382,287.653,248.868,34.699,25.199,56.69,37.679
2,Analytics,2.sh,204.591,210.353,287.944,250.35,34.786,25.541,56.814,38.749
2,Analytics,3.sh,275.353,282.72,368.388,327.56,60.971,50.44,95.481,52.184
2,Analytics,4.sh,102.659,102.535,136.042,119.771,29.807,16.867,46.582,29.158
2,Analytics,temp-analytics.sh,238.835,219.296,292.105,251.506,126.846,41.45,52.715,44.846
2,Automation,img_convert.sh,971.821,987.413,1245.88,1248.264,392.49,413.28,415.28,415.291
2,Automation,to_mp3.sh,307.805,312.421,392.05,392.166,125.523,132.088,131.146,132.652
2,Automation,nginx.sh,2026.97,1947.12,2499.209,2159.112,524.802,482.888,482.948,489.348
2,Automation,pcap.sh,1263.595,1339.881,1284.596,1338.025,359.878,362.056,371.864,369.876
2,Automation,compress_files.sh,225.822,226.029,251.328,259.343,394.821,343.348,338.984,341.894
2,Automation,encrypt_files.sh,668.616,672.516,799.302,787.168,257.25,269.714,273.442,273.575
3,Classics,nfa-regex.sh,401.278,400.094,608.826,605.003,445.653,428.336,649.286,650.993
3,Classics,sort.sh,119.748,102.858,150.504,122.001,52.713,50.357,82.782,58.437
3,Classics,top-n.sh,234.577,228.836,309.776,287.088,182.202,180.031,269.342,210.227
3,Classics,wf.sh,239.252,228.971,330.115,280.552,182.214,179.956,266.445,211.874
3,Classics,spell.sh,441.066,440.931,672.948,437.316,311.782,312.464,477.208,313.006
3,Classics,diff.sh,52.272,56.087,88.668,56.745,41.156,41.957,67.36,55.595
3,Classics,bi-grams.sh,579.476,572.475,894.744,578.438,328.792,324.589,493.931,325.57
3,Classics,set-diff.sh,183.201,186.081,255.046,207.948,124.864,120.989,186.257,128.54
3,Classics,sort-sort.sh,206.757,188.377,356.557,221.444,132.405,133.968,211.064,141.878
3,Classics,shortest-scripts.sh,171.024,175.653,271.465,176.475,73.318,73.209,117.812,73.576
3,Analytics,1.sh,209.561,213.786,293.779,250.523,36.355,29.521,60.496,37.388
3,Analytics,2.sh,211.124,211.774,293.219,255.056,36.639,30.684,59.686,40.91
3,Analytics,3.sh,282.266,285.633,373.792,331.886,63.339,54.923,97.42,52.957
3,Analytics,4.sh,111.868,106.595,141.202,124.038,26.459,22.358,48.168,29.422
3,Analytics,temp-analytics.sh,243.049,224.567,297.653,268.521,134.16,41.529,53.083,44.539
3,Automation,img_convert.sh,1006.524,993.571,1242.719,1244.196,391.475,414.553,416.044,415.823
3,Automation,to_mp3.sh,315.107,314.05,392.347,393.482,125.774,131.75,131.316,132.56
3,Automation,nginx.sh,485.632,464.586,553.932,574.455,523.945,484.219,490.813,481.795
3,Automation,pcap.sh,1334.653,1280.241,1272.419,1338.438,363.407,364.633,367.375,366.818
3,Automation,compress_files.sh,237.993,242.684,284.057,281.236,386.94,340.51,336.747,334.903
3,Automation,encrypt_files.sh,659.46,635.175,761.269,753.752,256.69,273.572,272.941,273.93
